sim/cockpit/gyros/psi_ind_ahars_copilot_degm,sim/cockpit/gyros/the_ind_ahars_copilot_deg,sim/cockpit2/autopilot/sync_hold_roll_deg
150.5434113,14.26219082,-2.032930851
150.3838959,13.92936325,-2.030891418
150.2251892,13.581888199999998,-2.028011799
150.06364440000002,13.213871,-2.024140835
149.9011993,12.832590099999999,-2.019141674
149.7403717,12.44695187,-2.013298035
149.5838013,12.06721115,-2.0066549780000003
149.4248352,11.68027782,-1.9990688559999998
149.2721558,11.31088257,-1.9908982519999998
149.1182861,10.94405174,-1.9818526509999999
148.9655762,10.58850574,-1.97217536
148.81613159999998,10.25193024,-1.962014675
148.6670532,9.930617332,-1.951296091
148.5176544,9.625741958999999,-1.9400132890000001
148.37042240000002,9.344947815,-1.9284464119999998
148.2220459,9.084364891,-1.916290998
148.07754519999997,8.854450226,-1.904170871
147.93231200000002,8.649333,-1.8918021919999999
147.78182980000003,8.466107368,-1.878661394
147.6361084,8.31897831,-1.865805507
147.4906158,8.203139305,-1.8529858590000001
147.3476257,8.120583534,-1.840350151
147.20431519999997,8.069680214,-1.827876925
147.06449890000002,8.051183701,-1.81578052
146.924118,8.063681602,-1.803898096
146.7846832,8.106736182999999,-1.792507887
146.6449738,8.180062293999999,-1.7812557219999998
146.5032501,8.2844944,-1.77032578
146.3660889,8.413479805,-1.760238886
146.22789,8.569930077,-1.750689387
146.0907135,8.749934196,-1.741662979
145.95559690000002,8.949778557,-1.733389139
145.8214722,9.16828537,-1.725782394
145.6861115,9.407372475,-1.718869328
145.5530396,9.658191681,-1.712471485
145.4165649,9.929512024,-1.7067837719999999
145.28227230000002,10.20803738,-1.701800108
145.1453857,10.50084877,-1.6974850890000002
145.00788880000002,10.80149364,-1.693833709
144.87449650000002,11.09662819,-1.6909993890000001
144.74331669999998,11.3875103,-1.688782454
144.6061859,11.68970871,-1.687165499
144.47341919999997,11.97777081,-1.686245918
144.34072880000002,12.25844765,-1.6858237980000002
144.20838930000002,12.52895832,-1.6859709019999998
144.0778656,12.78404713,-1.686531663
143.94546509999998,13.02858829,-1.687615633
143.8126373,13.25739098,-1.6890575890000001
143.6821136,13.46392822,-1.690793395
143.54847719999998,13.654666899999999,-1.6928436759999999
143.4133301,13.8242445,-1.6951417919999998
143.28239440000002,13.96452713,-1.697518826
143.1479645,14.08224487,-1.7000250819999998
143.01586909999997,14.17073631,-1.702541113
142.88265990000002,14.23144627,-1.70500505
142.75314330000003,14.26197243,-1.707262993
142.6235199,14.26361179,-1.709361434
142.4927063,14.23547459,-1.711222529
142.3581085,14.17486858,-1.712827325
142.2301788,14.08722878,-1.713989258
142.10227969999997,13.97047997,-1.714743972
141.9730225,13.82320118,-1.715041518
141.843338,13.64636135,-1.714808464
141.7156982,13.44467163,-1.7139997480000002
141.5883636,13.21711731,-1.712649226
141.45988459999998,12.96200657,-1.7106183769999999
141.3362732,12.69404411,-1.707992196
141.2073517,12.3924427,-1.70465672
141.08303830000003,12.08248234,-1.700630426
140.96063230000001,11.76076889,-1.696086884
140.8380432,11.42450905,-1.690762162
140.71582030000002,11.07775402,-1.684988141
140.5939178,10.72310925,-1.6783379319999998
140.4734955,10.36671257,-1.671204686
140.3551636,10.01357937,-1.663597345
140.2342377,9.652534485,-1.6552433969999998
140.1156311,9.301327705,-1.646466255
139.9972839,8.956727028,-1.637141585
139.878067,8.618632317000001,-1.6273127790000002
139.7617645,8.300332069,-1.617226005
139.6466217,7.999468327000001,-1.6068699359999998
139.52836609999997,7.707606792000001,-1.595923185
139.4122314,7.441173077,-1.584728479
139.2991486,7.202816486000001,-1.573725104
139.1858368,6.987290859,-1.56238234
139.06985469999998,6.792909145,-1.550608039
138.9576874,6.631798267000001,-1.53922379
138.8467102,6.500021457999999,-1.5279129740000001
138.7378387,6.398540973999999,-1.51674664
138.6268158,6.324344635,-1.5057580469999998
138.5190887,6.281257152999999,-1.494936705
138.4107056,6.267037392000001,-1.48428154
138.3009186,6.2825579639999996,-1.473639965
138.19378659999998,6.326576233,-1.4635787009999999
138.08746340000002,6.3981423379999995,-1.4538617130000002
137.9797363,6.4983215329999995,-1.444385052
137.8726196,6.624679565,-1.435350776
137.7650146,6.777171135,-1.426728606
137.66281130000002,6.944739819,-1.419083476
137.5566559,7.140793324,-1.411480308
137.45210269999998,7.353841305,-1.404283881
137.34552,7.589669703999999,-1.397739887
137.2406921,7.837878227000001,-1.391865015
137.1354675,8.101374626,-1.3863564730000002
137.0325317,8.37014389,-1.3815552
136.92932130000003,8.649067879,-1.37731719
136.82823180000003,8.928816795,-1.373607635
136.72578430000002,9.216423987999999,-1.370453358
136.623642,9.505336761,-1.3677834269999998
136.5227356,9.790021896,-1.365537524
136.4219971,10.07157993,-1.3638898130000001
136.321579,10.3471384,-1.362496614
136.2227936,10.61104774,-1.361544967
136.1222534,10.87037849,-1.36106348
136.01843259999998,11.12562561,-1.3608647580000002
135.9201813,11.35380936,-1.361087561
135.8188782,11.57323933,-1.3615140909999999
135.7168121,11.77598953,-1.362131
135.6159821,11.95667362,-1.363057375
135.516571,12.11388397,-1.3640673159999999
135.4171906,12.24883842,-1.36513567
135.316925,12.36126328,-1.366317749
135.21777340000003,12.44750977,-1.3674155469999998
135.1173248,12.50874901,-1.368581891
135.0167389,12.54271221,-1.36968112
134.9177856,12.54869175,-1.370576262
134.8179169,12.52662849,-1.371291518
134.72000119999998,12.47722244,-1.371796131
134.6220093,12.40008354,-1.372023344
134.5275879,12.29968834,-1.3720294240000002
134.4304352,12.16978455,-1.371710896
134.334259,12.01522827,-1.37098074
134.2393188,11.83793449,-1.3699272869999999
134.1462097,11.64077568,-1.368529558
134.0507355,11.41602135,-1.366677761
133.9586334,11.17862988,-1.364335895
133.8629456,10.91208839,-1.361628413
133.7686462,10.63108349,-1.3583722109999998
133.6746216,10.33508778,-1.35467267
133.58461,10.03851891,-1.35077095
133.490036,9.715036392,-1.346298099
133.3967285,9.38667202,-1.34126997
133.30757140000003,9.066589355,-1.335971236
133.2179718,8.710534096,-1.331877589
133.1551819,7.047761917000001,-1.3870773319999998
133.09046940000002,5.317577362,-1.4639539719999999
133.0207825,3.73518014,-1.533699036
132.9651489,1.5575802330000001,-1.579501271
132.8937683,-0.12629099189999998,-1.61969924
132.8148956,-1.624604821,-1.6588131190000002
132.72616580000002,-2.6988334660000004,-1.69490397
132.644165,-3.9332230089999998,-1.7289141419999998
132.5516663,-4.95566082,-1.765388489
132.41195679999998,-4.55380106,-1.8436803819999998
132.2841034,-4.719228745,-1.950828433
132.1482544,-4.885686398,-2.064071655
132.0022888,-4.882036209,-2.17500329
131.86170959999998,-5.011269093,-2.281080961
131.7090149,-5.115897655,-2.387854576
131.5474701,-5.174883842,-2.4921131130000003
131.3795471,-5.20680809,-2.597012281
131.2055054,-5.211305141,-2.697593927
131.0184479,-5.187825203,-2.7988693710000003
130.8221283,-5.054158211,-2.86854434
130.6227722,-4.7074146269999995,-2.8281798360000003
130.43573,-4.496654986999999,-2.772516012
130.24465940000002,-4.228384972,-2.717148066
130.0555115,-3.940064907,-2.6633150580000002
129.8737335,-3.6434361930000003,-2.613096476
129.69920349999998,-3.340699434,-2.565368414
129.5215302,-3.017007828,-2.518840313
129.3484192,-2.6885416510000004,-2.474815607
129.17918400000002,-2.357343674,-2.432455778
129.0137482,-2.026124954,-2.3915991780000003
128.84527590000002,-1.684201241,-2.351840734
128.6862335,-1.359204412,-2.315285921
128.52677920000002,-1.034271121,-2.279328823
128.3730164,-0.8473269343000001,-2.2591071130000002
128.22659299999998,-0.9685159922,-2.339945793
128.0702209,-1.0679292679999999,-2.4427976609999997
127.9082413,-1.082702756,-2.541591167
127.7411346,-1.131949425,-2.638178349
127.56133270000001,-1.188456297,-2.732880592
127.38560490000002,-1.250789285,-2.8228755000000003
127.1966095,-1.324372053,-2.91333437
126.9837189,-0.9871367812,-2.94435215
126.77867890000002,-0.6308931708,-2.893985748
126.5864334,-0.46023368840000006,-2.8354089260000004
126.3907547,-0.23917810620000002,-2.779605627
126.209938,-0.05378683656,-2.7271981239999996
126.0255585,0.124991484,-2.675202608
125.84399409999999,0.2886933386,-2.624007225
125.66473390000002,0.4354230762,-2.573617458
125.49372859999998,0.5600106716,-2.5257296559999998
125.3237152,0.6668518186,-2.478262424
125.15926359999999,0.7523825765000001,-2.431922913
